"symbol","fiscal_date_ending","reported_currency","total_assets","total_current_assets","cash_and_cash_equivalents","cash_and_short_term_investments","inventory","total_non_current_assets","property_plant_equipment","accumulated_depreciation_amortization_ppe","current_net_receivables","intangible_assets","intangible_assets_excluding_goodwill","goodwill","long_term_investments","short_term_investments","total_liabilities","total_current_liabilities","total_shareholder_equity","common_stock_shares_outstanding"
"AA","2014-12-31","USD","18680000000","2917000000","266000000","266000000","1501000000","NaN","11326000000","NaN","712000000","230000000","230000000","160000000","1777000000","NaN","5607000000","2735000000","10599000000","247343000"
"AA","2015-03-31","USD","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","182400000"
"AA","2015-06-30","USD","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","182400000"
"AA","2015-09-30","USD","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","182400000"
"AA","2015-12-31","USD","16413000000","2566000000","557000000","557000000","1172000000","13847000000","9390000000","NaN","380000000","53000000","53000000","152000000","1472000000","NaN","4900000000","2404000000","9442000000","182400000"
"AA","2016-03-31","USD","16403000000","2481000000","359000000","359000000","1203000000","13922000000","9519000000","NaN","434000000","153000000","153000000","153000000","NaN","NaN","4583000000","2194000000","9698000000","182400000"
"AA","2016-06-30","USD","16374000000","2386000000","332000000","332000000","1166000000","13988000000","9569000000","NaN","426000000","155000000","155000000","155000000","NaN","NaN","5421000000","3039000000","8773000000","182400000"
"AA","2016-09-30","USD","17305000000","3622000000","241000000","241000000","1192000000","13683000000","9609000000","-13536000000","692000000","155000000","155000000","155000000","1632000000","1228000000","8179000000","2206000000","6980000000","182467761"
"AA","2016-12-31","USD","16734000000","3181000000","853000000","853000000","1160000000","13553000000","9325000000","NaN","834000000","135000000","135000000","155000000","1826000000","0","9044000000","2842000000","5648000000","182688806"
"AA","2017-03-31","USD","17076000000","3404000000","804000000","804000000","1294000000","13672000000","9434000000","-13642000000","882000000","135000000","135000000","155000000","1750000000","0","8913000000","2623000000","5876000000","186303547"
"AA","2017-06-30","USD","16929000000","3583000000","954000000","954000000","1287000000","13346000000","9237000000","-13734000000","995000000","0","0","0","1637000000","0","8730000000","2608000000","5954000000","186385250"
"AA","2017-09-30","USD","17254000000","3804000000","1119000000","1119000000","1323000000","13450000000","9282000000","-13971000000","1033000000","0","0","0","1561000000","0","9136000000","2766000000","5862000000","187155231"
"AA","2017-12-31","USD","17447000000","4238000000","1358000000","1358000000","1453000000","13209000000","9138000000","NaN","1043000000","62000000","62000000","154000000","1538000000","0","10652000000","3252000000","4520000000","185078245"
"AA","2018-03-31","USD","17096000000","4149000000","1196000000","1196000000","1630000000","12947000000","9034000000","-13803000000","1001000000","0","0","0","1512000000","7000000","9579000000","2976000000","5368000000","188494931"
"AA","2018-06-30","USD","16518000000","4281000000","1089000000","1089000000","1668000000","12237000000","8556000000","-13523000000","1195000000","0","0","0","1434000000","6000000","9410000000","3013000000","5024000000","188708013"
"AA","2018-09-30","USD","16185000000","4193000000","1022000000","1022000000","1666000000","11992000000","8355000000","-13484000000","1193000000","0","0","0","1423000000","4000000","8900000000","3004000000","5216000000","186479038"
"AA","2018-12-31","USD","15938000000","4134000000","1113000000","1113000000","1644000000","11804000000","8327000000","NaN","1003000000","57000000","57000000","151000000","1442000000","3000000","8544000000","2919000000","5389000000","185325040"
"AA","2019-03-31","USD","15956000000","4114000000","1017000000","1017000000","1799000000","11842000000","8328000000","-13687000000","942000000","NaN","NaN","NaN","1430000000","NaN","8873000000","2803000000","5157000000","185325040"
"AA","2019-06-30","USD","15349000000","3818000000","834000000","834000000","1767000000","11531000000","8273000000","-13853000000","887000000","NaN","NaN","NaN","1141000000","NaN","8490000000","2531000000","4895000000","185533936"
"AA","2019-09-30","USD","14670000000","3643000000","841000000","841000000","1649000000","11027000000","7929000000","-13527000000","824000000","NaN","NaN","NaN","1114000000","NaN","8260000000","2455000000","4539000000","185566202"
"AA","2019-12-31","USD","14640000000","3530000000","879000000","879000000","1644000000","11110000000","8040000000","NaN","660000000","52000000","52000000","150000000","1113000000","NaN","8784000000","2563000000","4082000000","186609231"
"AA","2020-03-31","USD","13651000000","3333000000","829000000","829000000","1509000000","10318000000","7160000000","-13021000000","665000000","NaN","NaN","NaN","1059000000","NaN","7840000000","2223000000","4275000000","186609231"
"AA","2020-06-30","USD","13300000000","3179000000","965000000","965000000","1419000000","10121000000","7289000000","-13588000000","507000000","NaN","NaN","NaN","1037000000","NaN","7976000000","2241000000","3705000000","185917932"
"AA","2020-09-30","USD","14223000000","4026000000","1736000000","1736000000","1398000000","10197000000","7250000000","-13811000000","611000000","NaN","NaN","NaN","1035000000","1034000","9204000000","2276000000","3395000000","185923106"
"AA","2020-12-31","USD","14864000000","4520000000","1607000000","1607000000","1398000000","10344000000","7190000000","NaN","556000000","45000000","45000000","145000000","1051000000","1051000","9873000000","2761000000","3287000000","185945762"
"AA","2021-03-31","USD","14931000000","4891000000","2544000000","2544000000","1417000000","10040000000","6930000000","-13269000000","677000000","NaN","NaN","NaN","1055000000","1055000","10058000000","3221000000","3248000000","189000000"
"AA","2021-06-30","USD","14438000000","4201000000","1652000000","1652000000","1547000000","10237000000","6976000000","-13575000000","744000000","NaN","NaN","NaN","1113000000","1113000000","9020000000","2671000000","3769000000","190000000"
"AA","2021-09-30","USD","14197000000","4285000000","1452000000","1452000000","1702000000","9912000000","6679000000","-13432000000","861000000","NaN","NaN","NaN","1146000000","1146000000","8736000000","2929000000","3878000000","191000000"
"AA","2021-12-31","USD","15003000000","5026000000","1814000000","1814000000","1956000000","9977000000","6623000000","NaN","884000000","36000000","36000000","144000000","1199000000","NaN","8754000000","3223000000","4638000000","185663439"
"AA","2022-03-31","USD","15988000000","5598000000","1554000000","1554000000","2495000000","10390000000","6824000000","-13621000000","1050000000","NaN","NaN","NaN","1224000000","NaN","9731000000","3466000000","4579000000","188000000"
"AA","2022-06-30","USD","15709000000","5863000000","1638000000","1638000000","2556000000","9846000000","6457000000","-13190000000","1022000000","31000000","31000000","145000000","1238000000","224000000","8417000000","3236000000","5666000000","186000000"
"AA","2022-09-30","USD","14885000000","5350000000","1432000000","1432000000","2400000000","9535000000","6254000000","-12765000000","868000000","30000000","30000000","144000000","1223000000","207000000","7993000000","2954000000","5371000000","179000000"
"AA","2022-12-31","USD","14756000000","5250000000","1363000000","1363000000","2427000000","9506000000","6493000000","NaN","909000000","29000000","29000000","145000000","1143000000","-21000000","8167000000","3004000000","5076000000","176952812"
"AA","2023-03-31","USD","14369000000","4946000000","1138000000","1138000000","2395000000","9423000000","6426000000","-13223000000","852000000","30000000","30000000","145000000","1051000000","106000000","8073000000","2785000000","4690000000","178000000"
"AA","2023-06-30","USD","14128000000","4670000000","990000000","990000000","2400000000","9458000000","6445000000","NaN","806000000","39000000","39000000","146000000","1034000000","93000000","7670000000","2596000000","4842000000","178000000"
"AA","2023-09-30","USD","13917000000","4365000000","926000000","926000000","2190000000","9552000000","6532000000","NaN","796000000","37000000","37000000","146000000","1004000000","33000000","7825000000","2624000000","4509000000","178000000"
"AA","2023-12-31","USD","14158000000","4405000000","976000000","976000000","2158000000","9753000000","NaN","NaN","808000000","37000000","37000000","146000000","979000000","29000000","8312000000","3030000000","4251000000","178466610"
"AA","2024-03-31","USD","14328000000","4881000000","1358000000","1358000000","2048000000","9447000000","NaN","NaN","1001000000","36000000","36000000","146000000","969000000","22000000","8794000000","3041000000","3994000000","179285359"
"AA","2024-06-30","USD","14307000000","4903000000","1396000000","1396000000","1975000000","9404000000","NaN","NaN","1074000000","35000000","35000000","144000000","989000000","38000000","8891000000","3166000000","3899000000","181000000"
"AA","2024-09-30","USD","14542000000","4866000000","1313000000","1313000000","2096000000","9676000000","NaN","NaN","1007000000","34000000","34000000","144000000","982000000","5000000","9292000000","3459000000","5250000000","233594549"
"AA","2024-12-31","USD","14064000000","4914000000","1138000000","1138000000","1998000000","9150000000","6389000000","NaN","1096000000","36000000","36000000","142000000","980000000","NaN","8907000000","3395000000","5157000000","258356066"
"AA","2025-03-31","USD","14574000000","5207000000","1202000000","1202000000","2182000000","9367000000","6497000000","NaN","1347000000","35000000","35000000","143000000","1011000000","NaN","8759000000","3039000000","5815000000","259000000"
"AA","2025-06-30","USD","14981000000","5395000000","1514000000","1514000000","2220000000","9586000000","6671000000","NaN","1204000000","34000000","34000000","144000000","1016000000","NaN","8746000000","3268000000","6135000000","260344776"
